account_id,industry,plan_tier,mrr,tenure_months,seats_purchased,active_seats_last_30d,logins_last_30d,features_adopted,avg_session_min,support_tickets_last_90d,unresolved_tickets,avg_resolution_days,nps_last_survey,churned
ACC100000,Asset Mgmt,Growth,2433.0,5,55,43,26,5,19.4,3,2,9.2,2.0,0
ACC100001,Asset Mgmt,Growth,3194.0,30,46,26,17,5,23.6,6,0,5.8,4.0,0
ACC100002,Insurance,Enterprise,9190.0,34,265,99,2,1,6.9,3,0,12.1,0.0,1
ACC100003,Corporate Treasury,Growth,2602.0,44,14,5,15,4,18.1,1,0,6.3,3.0,0
ACC100004,Asset Mgmt,Starter,452.0,34,9,3,11,6,25.4,1,1,8.6,6.0,0
ACC100005,Corporate Treasury,Enterprise,13054.0,12,125,61,17,8,28.0,2,2,5.6,9.0,0
ACC100006,Corporate Treasury,Growth,2723.0,22,30,12,7,3,10.9,6,1,10.2,2.0,0
ACC100007,Banking,Growth,2111.0,27,54,54,15,9,31.5,3,1,4.4,7.0,0
ACC100008,Brokerage,Starter,586.0,59,11,9,14,7,29.0,0,0,6.9,8.0,0
ACC100009,Banking,Growth,1887.0,32,38,32,10,6,21.8,3,0,5.4,4.0,0
ACC100010,Corporate Treasury,Starter,595.0,38,7,7,24,11,42.7,1,0,5.2,9.0,0
ACC100011,Insurance,Enterprise,9926.0,44,92,39,28,6,17.5,4,0,6.1,5.0,0
ACC100012,Corporate Treasury,Growth,2634.0,22,40,34,25,9,26.4,2,1,5.8,6.0,0
ACC100013,Corporate Treasury,Enterprise,10901.0,57,128,96,35,7,39.4,4,1,7.1,6.0,0
ACC100014,Corporate Treasury,Growth,2665.0,40,57,48,31,7,25.4,6,1,4.8,5.0,0
ACC100015,Corporate Treasury,Starter,430.0,51,14,8,24,5,17.3,2,1,8.6,5.0,0
ACC100016,Brokerage,Growth,2603.0,45,26,8,5,2,11.5,2,2,8.8,1.0,1
ACC100017,Corporate Treasury,Starter,352.0,37,5,2,4,1,13.5,1,1,7.6,1.0,0
ACC100018,Brokerage,Enterprise,11096.0,2,132,93,18,6,27.3,3,0,7.6,5.0,0
ACC100019,Insurance,Growth,2990.0,35,44,28,20,7,22.9,6,1,10.9,5.0,0
ACC100020,Asset Mgmt,Growth,2445.0,8,57,19,7,4,15.3,7,3,7.5,2.0,1
ACC100021,Asset Mgmt,Starter,500.0,36,11,7,20,8,31.0,6,1,6.1,10.0,0
ACC100022,Corporate Treasury,Enterprise,12875.0,42,93,46,6,2,12.3,4,3,12.2,1.0,1
ACC100023,Insurance,Enterprise,11526.0,33,126,61,21,5,23.5,4,1,5.1,5.0,1
ACC100024,Banking,Growth,3051.0,19,34,28,23,8,27.4,3,1,4.0,6.0,0
ACC100025,Asset Mgmt,Starter,471.0,4,3,2,18,7,25.7,7,2,8.7,3.0,0
ACC100026,Brokerage,Growth,3164.0,40,17,7,14,4,16.2,1,1,10.2,2.0,1
ACC100027,Corporate Treasury,Starter,613.0,42,4,2,26,7,35.1,4,2,6.5,4.0,0
ACC100028,Corporate Treasury,Starter,476.0,29,7,2,12,3,14.4,5,4,6.3,3.0,0
ACC100029,Banking,Growth,2299.0,43,35,22,36,8,48.8,6,0,4.0,7.0,1
ACC100030,Banking,Growth,2765.0,46,34,26,26,7,27.6,2,0,7.1,7.0,0
ACC100031,Asset Mgmt,Enterprise,13838.0,31,273,142,15,5,14.2,5,0,1.3,3.0,0
ACC100032,Brokerage,Starter,406.0,3,14,6,10,4,19.0,5,1,10.6,0.0,1
ACC100033,Insurance,Starter,422.0,52,10,7,10,6,28.8,5,1,9.6,1.0,0
ACC100034,Corporate Treasury,Growth,1969.0,28,17,13,27,9,37.0,5,2,8.2,8.0,1
ACC100035,Insurance,Starter,578.0,40,12,6,17,4,18.6,2,0,11.4,3.0,1
ACC100036,Insurance,Starter,564.0,54,8,6,21,6,21.9,3,0,8.1,3.0,0
ACC100037,Corporate Treasury,Growth,2034.0,22,15,4,1,0,4.9,2,2,13.2,1.0,1
ACC100038,Brokerage,Starter,511.0,37,9,7,23,9,24.7,2,0,3.5,9.0,0
ACC100039,Insurance,Growth,2896.0,2,20,9,30,8,36.4,1,1,4.1,7.0,0
ACC100040,Insurance,Growth,3171.0,53,58,32,15,7,25.4,5,3,7.3,5.0,0
