theme,top_category,tickets,avg_severity,accounts_affected,revenue_at_risk,avg_sentiment,tickets_n,avg_severity_n,revenue_at_risk_n,opportunity_score
"morning, recon job, flagged",Reconciliation,1220,2.8401639344262297,1100,1101892.0,0.11561918032786885,0.9999999999990672,0.6372331344627149,0.999999999999999,8.6
"don match, match, don",Reconciliation,531,2.809792843691149,508,454094.0,0.18413785310734462,0.3572761194026518,0.605043127433426,0.3549608501126374,4.2
"schedule, report times, generation",Performance,1095,2.3269406392694063,982,943079.0,0.009584840182648399,0.8833955223872356,0.09327303692132902,0.8418627990686011,4.1
"moderate impact, moderate, like fixed",Settlement,507,2.5404339250493098,485,389686.0,0.00599881656804734,0.33488805970118013,0.3195523770315268,0.2908266728568319,3.1
"failed, settle, pending",Settlement,239,3.1129707112970713,234,252265.0,-0.4678142259414226,0.08488805970141335,0.9263782343773034,0.1539915045654464,2.3
"window yesterday, cutoff, window",Settlement,258,3.0271317829457365,253,193590.0,-0.03720116279069768,0.10261194029841174,0.8353984361501549,0.09556646646919492,2.0
"webhook events, keys, rotated",API/Integration,194,2.634020618556701,190,195133.0,-0.2342917525773196,0.042910447761154005,0.41874395194493896,0.09710279899258548,1.2
"seconds load, takes 30, load market",Performance,187,2.6042780748663104,184,187801.0,0.16321764705882352,0.036380597014891436,0.3872201354704546,0.08980165451502761,1.1
"exported, exported report, figures",Reporting,213,2.3145539906103285,211,162258.0,0.23540985915492957,0.06063432835815239,0.0801445552713603,0.0643671576000829,0.7
"corporate action, corporate, wrong corporate",Data Accuracy,148,3.1824324324324325,146,106266.0,-0.21631689189189188,0.0,0.9999999989401103,0.008614310001918368,0.0
"missing, missing columns, columns",Reporting,226,2.2389380530973453,220,193895.0,0.03447654867256637,0.07276119402978287,0.0,0.09586960055211964,0.0
"overnight batch, batch, overnight",API/Integration,182,2.7142857142857144,179,97615.0,-0.08527252747252748,0.031716417910418175,0.5038161022427572,0.0,0.0
