account_id,industry,plan_tier,mrr,tenure_months,seats_purchased,active_seats_last_30d,logins_last_30d,features_adopted,avg_session_min,support_tickets_last_90d,unresolved_tickets,avg_resolution_days,nps_last_survey,churned,adoption_rate,seat_utilization,login_intensity,health_score,churn_risk,revenue_at_risk
ACC100000,Asset Mgmt,Growth,2433.0,5,55,43,26,5,19.4,3,2,9.2,2.0,0,0.4166666666666667,0.7818181818181819,0.8666666666666667,58.5,0.20626778034993548,502.0
ACC100001,Asset Mgmt,Growth,3194.0,30,46,26,17,5,23.6,6,0,5.8,4.0,0,0.4166666666666667,0.5652173913043478,0.5666666666666667,54.0,0.0993756099596376,317.0
ACC100002,Insurance,Enterprise,9190.0,34,265,99,2,1,6.9,3,0,12.1,0.0,1,0.08333333333333333,0.37358490566037733,0.06666666666666667,23.6,0.9156603311477285,8415.0
ACC100003,Corporate Treasury,Growth,2602.0,44,14,5,15,4,18.1,1,0,6.3,3.0,0,0.3333333333333333,0.35714285714285715,0.5,43.6,0.1618150135074182,421.0
ACC100004,Asset Mgmt,Starter,452.0,34,9,3,11,6,25.4,1,1,8.6,6.0,0,0.5,0.3333333333333333,0.36666666666666664,44.2,0.10791209806317337,49.0
ACC100005,Corporate Treasury,Enterprise,13054.0,12,125,61,17,8,28.0,2,2,5.6,9.0,0,0.6666666666666666,0.488,0.5666666666666667,59.2,0.11254597959793457,1469.0
ACC100006,Corporate Treasury,Growth,2723.0,22,30,12,7,3,10.9,6,1,10.2,2.0,0,0.25,0.4,0.23333333333333334,34.0,0.3241869414201568,883.0
ACC100007,Banking,Growth,2111.0,27,54,54,15,9,31.5,3,1,4.4,7.0,0,0.75,1.0,0.5,75.7,0.02429683242829387,51.0
ACC100008,Brokerage,Starter,586.0,59,11,9,14,7,29.0,0,0,6.9,8.0,0,0.5833333333333334,0.8181818181818182,0.4666666666666667,68.2,0.041874740177931274,25.0
ACC100009,Banking,Growth,1887.0,32,38,32,10,6,21.8,3,0,5.4,4.0,0,0.5,0.8421052631578947,0.3333333333333333,59.2,0.07581447201203272,143.0
ACC100010,Corporate Treasury,Starter,595.0,38,7,7,24,11,42.7,1,0,5.2,9.0,0,0.9166666666666666,1.0,0.8,92.1,0.0008246819410319931,0.0
ACC100011,Insurance,Enterprise,9926.0,44,92,39,28,6,17.5,4,0,6.1,5.0,0,0.5,0.42391304347826086,0.9333333333333333,61.8,0.10735197240924607,1066.0
ACC100012,Corporate Treasury,Growth,2634.0,22,40,34,25,9,26.4,2,1,5.8,6.0,0,0.75,0.85,0.8333333333333334,76.8,0.0651085090080589,171.0
ACC100013,Corporate Treasury,Enterprise,10901.0,57,128,96,35,7,39.4,4,1,7.1,6.0,0,0.5833333333333334,0.75,1.0,73.2,0.011046139731859951,120.0
ACC100014,Corporate Treasury,Growth,2665.0,40,57,48,31,7,25.4,6,1,4.8,5.0,0,0.5833333333333334,0.8421052631578947,1.0,75.0,0.042034083870548314,112.0
ACC100015,Corporate Treasury,Starter,430.0,51,14,8,24,5,17.3,2,1,8.6,5.0,0,0.4166666666666667,0.5714285714285714,0.8,56.5,0.14706343294849497,63.0
ACC100016,Brokerage,Growth,2603.0,45,26,8,5,2,11.5,2,2,8.8,1.0,1,0.16666666666666666,0.3076923076923077,0.16666666666666666,21.2,0.8754394280917897,2279.0
ACC100017,Corporate Treasury,Starter,352.0,37,5,2,4,1,13.5,1,1,7.6,1.0,0,0.08333333333333333,0.4,0.13333333333333333,21.6,0.03922482796673131,14.0
ACC100018,Brokerage,Enterprise,11096.0,2,132,93,18,6,27.3,3,0,7.6,5.0,0,0.5,0.7045454545454546,0.6,62.1,0.04024713636281624,447.0
ACC100019,Insurance,Growth,2990.0,35,44,28,20,7,22.9,6,1,10.9,5.0,0,0.5833333333333334,0.6363636363636364,0.6666666666666666,63.2,0.041399372497783894,124.0
